中文名称,英文名称
2,2,6-三甲基环己酮,2,2,6-Trimethylcyclohexanone
2,6,6-三甲基-2-环己烯-1,4-二酮,2,6,6-Trimethylcyclohex-2-ene-1,4-dione
3-庚酮,3-Heptanone
5-甲基-2-庚烯-4-酮,5-Methyl-2-hepten-4-one
6-甲基-3,5-庚二烯-2-酮,6-Methyl-3,5-heptadien-2-one
2-辛酮,2-Octanone
3-辛酮,3-Octanone
3-辛烯-2-酮,3-Octen-2-one
6,10-二甲基-5,9-十一碳二烯-2-酮,6,10-Dimethyl-5,9-undecadien-2-one
2-十五酮,2-Pentadecanone
3-甲基环十五酮,3-Methyl-1-cyclopentadecanone
环十七-9-烯-1-酮,Cycloheptadeca-9-en-1-one
二苯甲酮,Benzophenone
2-羟基苯乙酮,2-Hydroxyacetophenone
异弗尔酮,Isophorone
二氢茉莉酮(又名2-戊基-3-甲基-2-环戊烯-1-酮),Dihydrojasmone(2-Pentyl-3-methyl-2-cyclopenten-1-one)
新甲基橙皮苷二氢查耳酮,Neohesperidin dihydrochalconeNeohesperidin DHC
姜油酮,Zingerone
β-突厥酮[又名4-(2,6,6-三甲基环己-1-烯基)丁-2-烯-4-酮],β-Damascone [4-(2,6,6-Trimethylcyclohex-1-enyl)but-2-en-4-one]
3-甲硫基丁醛,3-(Methylthio) butanal
α-戊基桂醛,α-Amylcinnamaldehyde
d-葑酮,d-Fenchone
2-甲基四氢呋喃-3-酮,2-Methyltetrahydrofuran-3-one
4-羟基-2,5-二甲基-3(2H)-呋喃酮,4-Hydroxy-2,5-dimethyl-3(2H)furanone
2,5-二甲基-4-甲氧基-3(2H)-呋喃酮,2,5-Dimethyl-4-methoxy-3(2H)-furanone
2-戊基呋喃,2-Pentylfuran
4,5,6,7-四氢-3,6-二甲基苯并呋喃(又名薄荷呋喃),4,5,6,7-Tetrahydro-3,6-dimethylbenzofuran(Menthofuran)
1,5,5,9-四甲基-13-氧杂三环[8.3.0.0(4,9)]十三烷,1,5,5,9-Tetramethyl-13-oxatricyclo[8.3.0.0(4,9)]tridecane
顺式-二氢香芹酮,cis-Dihydrocarvone
3-巯基-2-丁酮(又名3-巯基-丁-2-酮),3-Mercapto-2-butanone
胡椒基丙酮,Piperonyl acetone
二氢-β-紫罗兰酮,Dihydro-β-ionone
4-甲基-2，3-戊二酮,4-Methyl-2,3-pentanedione
反式-7-甲基-3-辛烯-2-酮,(E)-7-Methyl-3-octen-2-one
3-乙酰硫基-2-甲基呋喃,3-(Acetylthio)-2-methylfuran
4-乙酰氧基-2,5-二甲基-3(2H)-呋喃酮,4-Acetoxy-2,5-dimethyl-3(2H)-furanone
3-乙基-2-羟基-4-甲基-2-环戊烯-1-酮,3-Ethyl-2-hydroxy-4-methylcyclopent-2-en-1-one
环己酮,Cyclohexanone
2,3-庚二酮,2,3-Heptanedione
2,3-辛二酮,2,3-Octanedione
乙酸,Acetic acid
丙酸,Propionic acid
丙酮酸,Pyruvic acid
丁酸,Butyric acid
异丁酸,Isobutyric acid
2-甲基丁酸,2-Methylbutyric acid
2-乙基丁酸,2-Ethylbutyric acid
戊酸,Valeric acid
2-甲基戊酸,2-Methylvaleric acid
2-甲基-2-戊烯酸(又名草莓酸),2-Methyl-2-pentenoic acid (Strawberriff)
异戊酸,Isovaleric acid
己酸,Hexanoic acid
己二酸,Adipic acid
反式-2-己烯酸,trans-2-Hexenoic acid
3-己烯酸,3-Hexenoic acid
庚酸,Heptanoic acid
辛酸,Octanoic acid
壬酸,Nonoic acid
癸酸,Decanoic acid
十二酸(又名月桂酸),Dodecanoic acid (Lauric acid)
十四酸(又名肉豆蔻酸),Tetradecanoic acid (Myristic acid)
十六酸(又名棕榈酸),Hexadecylic acid (Palmitic acid)
苯甲酸,Benzoic acid
苯乙酸,Phenylacetic acid
柠檬酸,Citric acid
肉桂酸,Cinnamic acid
富马酸,Fumaric acid
3-甲基戊酸(又名酐酪酸),3-Methylpentanoic acid
β-丙氨酸,β-Alanine
L-苯基丙氨酸,L-Phenylalanine
L-半胱氨酸,L-Cysteine
甘氨酸,Glycine
L-谷氨酸,L-Glutamic acid
L-亮氨酸,L-Leucine
DL-蛋氨酸,DL-Methionine
乙酰丙酸,Levulinic acid
2-氧代丁酸,2-Oxobutyric acid
2-甲基己酸,2-Methylhexanoic acid
2-甲基庚酸,2-Methyloenanthic acid
4-甲基辛酸,4-Methyloctanoic acid
3,7-二甲基-6-辛烯酸,3,7-Dimethyl-6-octenoic acid
9-癸烯酸,9-Decenoic acid
十一酸,Undecanoic acid
10-十一碳烯酸,10-Undecenoic acid
3-苯丙酸,3-Phenylpropionic acid
乳酸,Lactic acid
L-脯氨酸,L-Proline
DL-缬氨酸,DL-Valine
2-(4-甲氧基苯氧基)-丙酸钠,Sodium 2-(4-methyoxy-phenoxy)propanoate
L-和DL-丙氨酸,L-and DL-Alanine
L-精氨酸,L-Arginine
L-赖氨酸,L-Lysine
3-甲基巴豆酸,3-Methylcrotonic acid
甲酸,Formic acid
4-甲基壬酸,4-Methylnonanoic acid
异己酸,Isohexanoic acid
2-羟基苯甲酸(又名水杨酸),2-Hydroxybenzoic acid (Salicylic acid)
惕各酸,Tiglic acid
琥珀酸,Succinic acid
硬脂酸,Stearic acid
甲酸乙酯,Ethyl formate
甲酸丁酯,Butyl formate
甲酸戊酯,Amyl formate
甲酸异戊酯,Isoamyl formate
甲酸己酯,Hexyl formate
甲酸苄酯,Benzyl formate
甲酸香叶酯,Geranyl formate
甲酸香茅酯,Citronellyl formate
甲酸苯乙酯,Phenethyl formate
甲酸芳樟酯,Linalyl formate
乙酸甲酯,Methyl acetate
乙酸乙酯,Ethyl acetate
乙酰乙酸乙酯,Ethyl acetoacetate
乙酸丙酯,Propyl acetate
乙酸异丙酯,Isopropyl acetate
乙酸烯丙酯,Allyl acetate
乙酰丙酸乙酯,Ethyl acetylpropanoate
乙酸丁酯,Butyl acetate
乙酸异丁酯,Isobutyl acetate
乙酸异戊酯,Isoamyl acetate
乙酸己酯,Hexyl acetate
乙酸2-己烯酯,2-Hexen-1-yl acetate
乙酸庚酯,Heptyl acetate
乙酸辛酯,Octyl acetate
乙酸3-辛酯,3-Octyl acetate
1-辛烯-3-醇乙酸酯,1-Octen-3-yl acetate
乙酸壬酯,Nonyl acetate
2-丁烯酸己酯,n-Hexyl 2-butenoate
乙酸癸酯,Decyl acetate
乙酸苄酯,Benzyl acetate
乙酸苯乙酯,Phenethyl acetate
乙酸茴香酯,Anisyl acetate
乙酸龙脑酯,Bornyl acetate
乙酸薄荷酯,Menthol acetate
乙酸肉桂酯,Cinnamyl acetate
乙酸香茅酯,Citronellyl acetate
乙酸香叶酯,Geranyl acetate
