中文名称,英文名称
海索草提取物(又名神香草提取物),Hyssop extract (Hyssopus officinalis L.)
安古树皮提取物,Angostura extract (Galipea offincinalis Hancock)
德国春黄菊花(母菊花)提取物,Chamomile (German) extract (Matricaria chamomilla L.)
石榴果汁浓缩物,Pomegranate concentrate
L-苏氨酸,L-Threonine
L-丝氨酸,L-Serine
灵猫净油,Civet absolute (Viverra civetta Schreber V. zibetha Schreber)Civetabsolute(Viverracivetta SchreberV.zibetha Schreber)
胭脂树提取物,Annatto extract (Bixa orellana L.)
卡黎皮提取物,Cascarilla bark extract (Croton spp.)
肉桂皮油/油树脂,Cinnanon bark oil/oleoresin (Cinnamomaum spp.)
刺梧桐树胶,Karaya gum (Sterculia urens)
橘叶油,Petitgrain mandarin oil (Citrus reticulate Blanco var. mandarin)
欧洲山松针叶油,Pine needle oil, dwarf, oil (Pinus mugo turra var. pumilio (Haenke) Zenari)
玫瑰果籽提取物,Rose hips extract (Rosa spp.)
夏香草油,Savory summer oil (Satureja hortensis L.)
加拿大细辛油,Snakeroot oil, Canadian (Asarum canadense L.)
单宁酸,Tannic acid
黄蓍胶,Tragacanth gum (Astragalus spp.)
甘牛至油树脂/提取物,Marjoram oleoresin/extract [Majorana hortensis Moench (Origanum majorana L.)]
摩洛哥豆蔻提取物,Grains of paradise extract[Aframomum melegueta (Rosc.) K. Schum]
橙皮素,Hesperetin
根皮素,Phloretin
芝麻(CO2)提取物,Sesame CO2extract
芝麻蒸馏物,Sesame dist.
干制鲣鱼(CO2)提取物,Katsuobushi CO2 extract
郎姆酒净油,Rum absolute
豆豉油树脂,Toushi oleoresin (Douchi oleoresin)
药蜀葵,Althea root (Althea officinalis L.)
香蜂草,Balm (Melissa officinalis L.)
白千层油,Cajeput oil (Melaleuca cajuputi Powell)
玉米穗丝,Corn silk (Zea mays L.)
毕澄茄,Cubebs (Piper cubeba L. f.)
芦荟提取物,Aloe extract (Aloe spp.)
龙涎香酊,Ambergris tincture
黄葵酊,Ambrette tincture (Hibiscus abelmoschus L.)
燕根(萝藦科植物)提取物,Swallowroot (Decalepis hamiltonii) extract
红枣浸膏,Date concrete (Ziziphus jujuba)
高倍天然苹果香料,Folded Apple Essence
β-愈疮木烯,β-Guaiene Guaia-1(5),7(11)-diene
褐藻胶,Algin (Laminaria spp. and other kelps)
香厚壳桂皮油,Massoia bark oil (Cryptocarya massoio)
(-)-高圣草酚钠盐,(-)-Homoeriodyctiol sodium salt
酶处理异槲皮苷,Isoquercitrin, enzymatically modified
葡萄籽提取物,Grape seed extract (Vitis vinifera)
留兰香提取物,Spearmint extract (Mentha spicata L.)
杂醇油(精制过),Fusel oil, refined
